('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397784 function calls (383418 primitive calls) in 6.359 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        1    0.000    0.000    0.005    0.005 _htmlparser.py:2(<module>)
       77    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        7    0.000    0.000    0.000    0.000 element.py:808(<genexpr>)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
        1    0.000    0.000    0.040    0.040 formatter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:2765(UnicodeDammit)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
        8    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        1    0.000    0.000    0.000    0.000 element.py:1144(Tag)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       61    0.000    0.000    0.000    0.000 dammit.py:2409(<listcomp>)
        1    0.000    0.000    0.005    0.005 parser.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap_external>:1040(create_module)
        3    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        7    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
       79    0.000    0.000    0.000    0.000 element.py:1536(__eq__)
        1    0.000    0.000    0.002    0.002 pretty.py:67(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
       17    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        6    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        1    0.000    0.000    0.000    0.000 __init__.py:454(reset)
        1    0.000    0.000    0.000    0.000 __init__.py:71(BeautifulSoup)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_types.py:183(Selector)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       28    0.000    0.000    0.000    0.000 __init__.py:570(__missing__)
        1    0.000    0.000    0.017    0.017 css_parser.py:328(__init__)
       54    0.000    0.000    0.000    0.000 typing.py:634(<genexpr>)
       34    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 typing.py:1600(TextIO)
        1    0.000    0.000    0.000    0.000 css_match.py:1498(SoupSieve)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        1    0.000    0.000    0.000    0.000 css_types.py:97(ImmutableDict)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:744(Thread)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:307(__init__)
