('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397705 function calls (383352 primitive calls) in 1.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.004    0.000 element.py:1822(find)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       73    0.000    0.000    0.000    0.000 element.py:389(_last_descendant)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      212    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       29    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.109    0.109 __init__.py:27(<module>)
      212    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       15    0.000    0.000    0.035    0.002 css_parser.py:308(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     47/1    0.000    0.000    0.178    0.178 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       37    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       36    0.000    0.000    0.000    0.000 element.py:2242(__init__)
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
        1    0.000    0.000    0.036    0.036 css_match.py:1(<module>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.077    0.077 __init__.py:117(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.169    0.169 __init__.py:2(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:824(__class_getitem__)
       65    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       10    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.038    0.038 dammit.py:8(<module>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.154    0.154 element.py:2(<module>)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       81    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       38    0.000    0.000    0.000    0.000 element.py:275(get_text)
        1    0.000    0.000    0.000    0.000 threading.py:335(notify)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        7    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        1    0.000    0.000    0.000    0.000 traceback.py:437(TracebackException)
       38    0.000    0.000    0.000    0.000 element.py:294(<listcomp>)
       91    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      121    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 threading.py:216(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       14    0.000    0.000    0.015    0.001 css_parser.py:1156(process_selectors)
       75    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
       38    0.000    0.000    0.001    0.000 typing.py:1202(_alias)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.178    0.178 __init__.py:15(<module>)
       27    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
       23    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        1    0.000    0.000    0.004    0.004 util.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:535(__init__)
        1    0.000    0.000    0.004    0.004 css_types.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _htmlparser.py:2(<module>)
       77    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      8/5    0.000    0.000    0.119    0.024 {built-in method builtins.__import__}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        3    0.000    0.000    0.024    0.008 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
       68    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    1.188    1.188 financial.py:3(<module>)
        7    0.000    0.000    0.000    0.000 element.py:808(<genexpr>)
        1    0.000    0.000    0.000    0.000 element.py:151(PageElement)
        1    0.000    0.000    0.000    0.000 css_parser.py:676(parse_pseudo_nth)
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
       45    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.018    0.018 css_parser.py:328(__init__)
       63    0.000    0.000    0.000    0.000 typing.py:351(<genexpr>)
        1    0.000    0.000    0.002    0.002 pretty.py:67(<module>)
       37    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
       61    0.000    0.000    0.000    0.000 dammit.py:2409(<listcomp>)
        1    0.000    0.000    0.000    0.000 dammit.py:2765(UnicodeDammit)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       79    0.000    0.000    0.000    0.000 element.py:1536(__eq__)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
        1    0.000    0.000    0.005    0.005 parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:445(__init__)
       54    0.000    0.000    0.000    0.000 typing.py:634(<genexpr>)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        1    0.000    0.000    0.040    0.040 formatter.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       36    0.000    0.000    0.000    0.000 enum.py:628(name)
        1    0.000    0.000    0.000    0.000 __init__.py:51(lookup)
        1    0.000    0.000    0.000    0.000 element.py:1144(Tag)
       34    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        3    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
       17    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        6    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 css_match.py:1498(SoupSieve)
        1    0.000    0.000    0.000    0.000 css_types.py:183(Selector)
        8    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        9    0.000    0.000    0.000    0.000 enum.py:912(_power_of_two)
        1    0.000    0.000    0.000    0.000 __init__.py:454(reset)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:685(__mro_entries__)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:744(Thread)
       35    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       26    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 __init__.py:71(BeautifulSoup)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
